organisation1_name,organisation2_name,num_of_projects
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,ILMATIETEEN LAITOS,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,INKODE SOCIETA COOPERATIVA,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,Instytut Geofizyki Polskiej Akademii Nauk,2
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,LUNDS UNIVERSITET,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,MARINE INSTITUTE,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,NORSK POLARINSTITUTT,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,OULUN YLIOPISTO,3
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,POLARFORSKNINGSSEKRETARIATET,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,RANNSOKNARSTODIN RIF,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,SIOS SVALBARD AS,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,STIFTELSEN NILU,2
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,STOCKHOLMS UNIVERSITET,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,SUDURNES SCIENCE AND LEARNING CENTER,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,TURUN YLIOPISTO,2
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UIC SCIENCE LLC,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNITED KINGDOM RESEARCH AND INNOVATION,2
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNIVERSITAET GRAZ,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNIVERSITE LAVAL,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,University of Alaska,1
GRONLANDS NATURINSTITUT,HELSINGIN YLIOPISTO,1
GRONLANDS NATURINSTITUT,INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
GRONLANDS NATURINSTITUT,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
GRONLANDS NATURINSTITUT,Instytut Geofizyki Polskiej Akademii Nauk,1
GRONLANDS NATURINSTITUT,KOBENHAVNS UNIVERSITET,1
GRONLANDS NATURINSTITUT,LUNDS UNIVERSITET,1
GRONLANDS NATURINSTITUT,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
GRONLANDS NATURINSTITUT,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
GRONLANDS NATURINSTITUT,NORSK POLARINSTITUTT,1
GRONLANDS NATURINSTITUT,OULUN YLIOPISTO,1
GRONLANDS NATURINSTITUT,POLARFORSKNINGSSEKRETARIATET,1
GRONLANDS NATURINSTITUT,RANNSOKNARSTODIN RIF,1
GRONLANDS NATURINSTITUT,SIOS SVALBARD AS,1
GRONLANDS NATURINSTITUT,STIFTELSEN NILU,1
GRONLANDS NATURINSTITUT,STOCKHOLMS UNIVERSITET,1
GRONLANDS NATURINSTITUT,SUDURNES SCIENCE AND LEARNING CENTER,1
GRONLANDS NATURINSTITUT,TURUN YLIOPISTO,1
GRONLANDS NATURINSTITUT,UIC SCIENCE LLC,1
GRONLANDS NATURINSTITUT,UNITED KINGDOM RESEARCH AND INNOVATION,2
GRONLANDS NATURINSTITUT,UNIVERSITAET GRAZ,1
GRONLANDS NATURINSTITUT,UNIVERSITE LAVAL,2
GRONLANDS NATURINSTITUT,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,2
GRONLANDS NATURINSTITUT,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
GRONLANDS NATURINSTITUT,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
GRONLANDS NATURINSTITUT,University of Alaska,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",HELSINGIN YLIOPISTO,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",Instytut Geofizyki Polskiej Akademii Nauk,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",KOBENHAVNS UNIVERSITET,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",LUNDS UNIVERSITET,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA","MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",NORSK POLARINSTITUTT,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",OULUN YLIOPISTO,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",POLARFORSKNINGSSEKRETARIATET,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",RANNSOKNARSTODIN RIF,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",SIOS SVALBARD AS,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",STIFTELSEN NILU,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",STOCKHOLMS UNIVERSITET,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",SUDURNES SCIENCE AND LEARNING CENTER,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",TURUN YLIOPISTO,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UIC SCIENCE LLC,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNITED KINGDOM RESEARCH AND INNOVATION,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNIVERSITAET GRAZ,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNIVERSITE LAVAL,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,2
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
"HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA",University of Alaska,1
HELSINGIN YLIOPISTO,ILMATIETEEN LAITOS,5
HELSINGIN YLIOPISTO,INKODE SOCIETA COOPERATIVA,1
HELSINGIN YLIOPISTO,INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
HELSINGIN YLIOPISTO,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
HELSINGIN YLIOPISTO,INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,1
HELSINGIN YLIOPISTO,ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,1
HELSINGIN YLIOPISTO,Instytut Geofizyki Polskiej Akademii Nauk,1
HELSINGIN YLIOPISTO,KOBENHAVNS UNIVERSITET,2
HELSINGIN YLIOPISTO,MARINE INSTITUTE,1
HELSINGIN YLIOPISTO,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
HELSINGIN YLIOPISTO,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
HELSINGIN YLIOPISTO,NORSK POLARINSTITUTT,1
HELSINGIN YLIOPISTO,OULUN YLIOPISTO,3
HELSINGIN YLIOPISTO,POLARFORSKNINGSSEKRETARIATET,2
HELSINGIN YLIOPISTO,RANNSOKNARSTODIN RIF,1
HELSINGIN YLIOPISTO,SIOS SVALBARD AS,1
HELSINGIN YLIOPISTO,STIFTELSEN NILU,3
HELSINGIN YLIOPISTO,STOCKHOLMS UNIVERSITET,2
HELSINGIN YLIOPISTO,SUDURNES SCIENCE AND LEARNING CENTER,1
HELSINGIN YLIOPISTO,TURUN YLIOPISTO,6
HELSINGIN YLIOPISTO,UIC SCIENCE LLC,1
HELSINGIN YLIOPISTO,UNITED KINGDOM RESEARCH AND INNOVATION,2
HELSINGIN YLIOPISTO,UNIVERSITAET GRAZ,2
HELSINGIN YLIOPISTO,UNIVERSITE LAVAL,1
HELSINGIN YLIOPISTO,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,2
HELSINGIN YLIOPISTO,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,2
HELSINGIN YLIOPISTO,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
HELSINGIN YLIOPISTO,University of Alaska,1
ILMATIETEEN LAITOS,INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
ILMATIETEEN LAITOS,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
ILMATIETEEN LAITOS,Instytut Geofizyki Polskiej Akademii Nauk,1
ILMATIETEEN LAITOS,KOBENHAVNS UNIVERSITET,2
ILMATIETEEN LAITOS,LUNDS UNIVERSITET,4
ILMATIETEEN LAITOS,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
ILMATIETEEN LAITOS,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
ILMATIETEEN LAITOS,NORSK POLARINSTITUTT,1
ILMATIETEEN LAITOS,OULUN YLIOPISTO,1
ILMATIETEEN LAITOS,POLARFORSKNINGSSEKRETARIATET,2
ILMATIETEEN LAITOS,RANNSOKNARSTODIN RIF,1
ILMATIETEEN LAITOS,SIOS SVALBARD AS,1
ILMATIETEEN LAITOS,STIFTELSEN NILU,5
ILMATIETEEN LAITOS,STOCKHOLMS UNIVERSITET,3
ILMATIETEEN LAITOS,SUDURNES SCIENCE AND LEARNING CENTER,1
ILMATIETEEN LAITOS,TURUN YLIOPISTO,1
ILMATIETEEN LAITOS,UIC SCIENCE LLC,1
ILMATIETEEN LAITOS,UNITED KINGDOM RESEARCH AND INNOVATION,1
ILMATIETEEN LAITOS,UNIVERSITAET GRAZ,1
ILMATIETEEN LAITOS,UNIVERSITE LAVAL,1
ILMATIETEEN LAITOS,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
ILMATIETEEN LAITOS,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
ILMATIETEEN LAITOS,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
ILMATIETEEN LAITOS,University of Alaska,1
INKODE SOCIETA COOPERATIVA,INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,1
INKODE SOCIETA COOPERATIVA,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
INKODE SOCIETA COOPERATIVA,Instytut Geofizyki Polskiej Akademii Nauk,1
INKODE SOCIETA COOPERATIVA,KOBENHAVNS UNIVERSITET,1
INKODE SOCIETA COOPERATIVA,LUNDS UNIVERSITET,1
INKODE SOCIETA COOPERATIVA,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
INKODE SOCIETA COOPERATIVA,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
INKODE SOCIETA COOPERATIVA,NORSK POLARINSTITUTT,1
INKODE SOCIETA COOPERATIVA,OULUN YLIOPISTO,1
INKODE SOCIETA COOPERATIVA,POLARFORSKNINGSSEKRETARIATET,1
INKODE SOCIETA COOPERATIVA,RANNSOKNARSTODIN RIF,1
INKODE SOCIETA COOPERATIVA,SIOS SVALBARD AS,1
INKODE SOCIETA COOPERATIVA,STIFTELSEN NILU,1
INKODE SOCIETA COOPERATIVA,STOCKHOLMS UNIVERSITET,1
INKODE SOCIETA COOPERATIVA,SUDURNES SCIENCE AND LEARNING CENTER,1
INKODE SOCIETA COOPERATIVA,TURUN YLIOPISTO,1
INKODE SOCIETA COOPERATIVA,UIC SCIENCE LLC,1
INKODE SOCIETA COOPERATIVA,UNITED KINGDOM RESEARCH AND INNOVATION,1
INKODE SOCIETA COOPERATIVA,UNIVERSITAET GRAZ,1
INKODE SOCIETA COOPERATIVA,UNIVERSITE LAVAL,1
INKODE SOCIETA COOPERATIVA,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
INKODE SOCIETA COOPERATIVA,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
INKODE SOCIETA COOPERATIVA,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
INKODE SOCIETA COOPERATIVA,University of Alaska,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,Instytut Geofizyki Polskiej Akademii Nauk,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,KOBENHAVNS UNIVERSITET,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,LUNDS UNIVERSITET,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,MARINE INSTITUTE,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,NORSK POLARINSTITUTT,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,OULUN YLIOPISTO,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,POLARFORSKNINGSSEKRETARIATET,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,RANNSOKNARSTODIN RIF,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,SIOS SVALBARD AS,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,STIFTELSEN NILU,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,STOCKHOLMS UNIVERSITET,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,SUDURNES SCIENCE AND LEARNING CENTER,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,TURUN YLIOPISTO,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UIC SCIENCE LLC,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNITED KINGDOM RESEARCH AND INNOVATION,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNIVERSITAET GRAZ,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNIVERSITE LAVAL,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
INSTITUT POLAIRE FRANCAIS PAUL-EMILE-VICTOR GIP,University of Alaska,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,Instytut Geofizyki Polskiej Akademii Nauk,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,KOBENHAVNS UNIVERSITET,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,LUNDS UNIVERSITET,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,MARINE INSTITUTE,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,NORSK POLARINSTITUTT,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,OULUN YLIOPISTO,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,POLARFORSKNINGSSEKRETARIATET,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,RANNSOKNARSTODIN RIF,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,SIOS SVALBARD AS,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,STIFTELSEN NILU,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,STOCKHOLMS UNIVERSITET,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,SUDURNES SCIENCE AND LEARNING CENTER,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,TURUN YLIOPISTO,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UIC SCIENCE LLC,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNITED KINGDOM RESEARCH AND INNOVATION,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNIVERSITAET GRAZ,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNIVERSITE LAVAL,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
INSTITUTO DE GEOGRAFIA E ORDENAMENTO DO TERRITORIO DA UNIVERSIDADE DELISBOA,University of Alaska,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,Instytut Geofizyki Polskiej Akademii Nauk,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,KOBENHAVNS UNIVERSITET,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,LUNDS UNIVERSITET,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,NORSK POLARINSTITUTT,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,OULUN YLIOPISTO,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,POLARFORSKNINGSSEKRETARIATET,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,RANNSOKNARSTODIN RIF,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,SIOS SVALBARD AS,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,STIFTELSEN NILU,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,STOCKHOLMS UNIVERSITET,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,SUDURNES SCIENCE AND LEARNING CENTER,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,TURUN YLIOPISTO,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UIC SCIENCE LLC,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNITED KINGDOM RESEARCH AND INNOVATION,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNIVERSITAET GRAZ,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNIVERSITE LAVAL,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNIWERSYTET IM. ADAMA MICKIEWICZA WPOZNANIU,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1
INTERACT-INTERNATIONAL NETWORK FORTERRESTRIAL RESEARCH AND MONITORING,University of Alaska,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,Instytut Geofizyki Polskiej Akademii Nauk,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,KOBENHAVNS UNIVERSITET,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,LUNDS UNIVERSITET,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,"MINISTERIO DE CIENCIA, INNOVACION Y UNIVERSIDADES",1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,NATIONAL ANTARCTIC SCIENTIFIC CENTER,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,NORSK POLARINSTITUTT,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,OULUN YLIOPISTO,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,POLARFORSKNINGSSEKRETARIATET,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,RANNSOKNARSTODIN RIF,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,SIOS SVALBARD AS,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,STIFTELSEN NILU,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,STOCKHOLMS UNIVERSITET,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,SUDURNES SCIENCE AND LEARNING CENTER,1
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE,TURUN YLIOPISTO,1
