macro_topic,num_projects,total_funding,avg_funding
Agricultural and Environmental Sciences,5099,6754863602.0,1324742.812708374
Computer and Information Sciences,5067,7632814674.0,1506377.4766133807
Engineering and Technology,5280,7533942567.0,1426883.0619318183
Humanities,5032,7444302173.0,1479392.32372814
Medical and Health Sciences,5138,6496728439.0,1264446.9519268197
Natural Sciences,9929,12628784990.0,1271909.0532782758
Social Sciences,5043,6071944380.0,1204034.1820345032
